Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Left Foot Injury from Fall,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,,DRX,Female,Crush/Bruise,Foot,15.0,NO,Work related accident,23/08/2022
Shoulder Injury,Electric,SousseMETS,KS,A2-Injury with lost time,,,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Body,11.0,NO,Non-work related accident,23/08/2022
Back Injury,Electric,SousseMETS,VK,A2-Injury with lost time,Other,Normal operation,Work place / paths,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Crush/Bruise,Body,10.0,YES,Work related accident,08/09/2022
Right Eye Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Eye,5.0,NO,Non-work related accident,31/10/2022
Stepladder Fall,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,Work place / stairs,,1.6 - Falls,NO,,DRX,Male,Sprain/Strain,Hand,5.0,,Work related accident,10/06/2022
Stepladder Fall,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,Ladders,1.6 - Falls,NO,,DRX,Male,Sprain/Strain,Foot,25.0,YES,Work related accident,09/11/2022
Hand Injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,1.6 - Falls,NO,,DRX,Male,Sprain/Strain,Hand,5.0,YES,Work related accident,16/11/2022
Left Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,10.4 - Work environment,NO,,DRX,Female,Crush/Bruise,Hand,11.0,NO,Work related accident,11/08/2022
Head Pain with Swelling,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,,,11.1 - Other hazards caused by people,NO,,DRX,Female,Crush/Bruise,Head,5.0,YES,Work related accident,07/01/2022
Trolley Fall Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,,11.2 - Humans,NO,,DRX,Male,Other,Arm,6.0,YES,Work related accident,07/06/2022
Right Hand Injury from Fall,Electric,SousseMETS,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,11.2 - Humans,NO,,DRX,Female,Crush/Bruise,Hand,11.0,,Work related accident,12/05/2022
Nose Injury,Electric,Jemmal,IR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Tools / Utilities,Lagger,2.1 - Working spaces,NO,YES,DRX,Female,Crush/Bruise,Head,7.0,NO,Work related accident,23/09/2022
Little Toe Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,2.2 - Traffic routes,NO,,DRX,Male,Crush/Bruise,Foot,8.0,,Work related accident,08/06/2022
Right Foot Contusion,Electric,ElJem,IR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Female,Sprain/Strain,Foot,3.0,YES,Work related accident,07/01/2022
Right Knee Sprain,Electric,ElJem,IR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Male,Sprain/Strain,Leg,13.0,YES,Work related accident,17/01/2022
Pelvic Injury,Electric,ElJem,Cantine,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Sprain/Strain,Foot,5.0,YES,Non-work related accident,05/04/2022
Right Knee Injury,Electric,ElJem,IR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,YES,DRX,Female,Other,Leg,3.0,YES,Work related accident,16/09/2022
Stepladder Fall,Electric,Siliana,MM,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Sprain/Strain,Foot,7.0,YES,Work related accident,24/03/2022
Back Injury from Fall,Electric,SousseMETS,TPT,A2-Injury with lost time,E-Assembly - Item number,Maintenance,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Male,Other,Body,15.0,NO,Work related accident,28/01/2022
Lumbar Spine Injury from Slipping,Electric,SousseMETS,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Female,Other,Body,7.0,,Work related accident,31/01/2022
Right Knee Pain from Fall,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Crush/Bruise,Leg,7.0,,Non-work related accident,21/04/2022
Right Foot Injury,Electric,SousseMETS,KS,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Crush/Bruise,Foot,13.0,,Work related accident,22/04/2022
Right Foot Pain,Electric,SousseMETS,VK,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Female,Other,Foot,15.0,,Non-work related accident,20/05/2022
Right Leg Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Other,Foot,11.0,,Non-work related accident,30/05/2022
Stair Fall Injury,Electric,SousseMETS,TPT,A2-Injury with lost time,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,NO,DRX,Male,Sprain/Strain,Body,41.0,NO,Work related accident,05/09/2022
Fall from Height,Electric,Jemmal,Changing room,A2-Injury with lost time,Other,Normal operation,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,NO,DRX,Female,Sprain/Strain,Leg,15.0,YES,Work related accident,01/04/2022
Right Hypochondrium Injury,Electric,ElJem,Methall,A2-Injury with lost time,Logistics,Normal operation,Industrial truck,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Male,Sprain/Strain,,22.0,YES,Work related accident,17/08/2022
Right Hand Injury,Electric,ElJem,Production,A2-Injury with lost time,Other,Maintenance,,,3.1 - Heavy physical work,NO,,DRX,Male,Laceration,Hand,4.0,YES,Work related accident,21/06/2022
Injury from Bawbret Uprising,Electric,Siliana,FBB,A2-Injury with lost time,Other,Normal operation,Lifting Gear / conveyors,,3.1 - Heavy physical work,NO,,DRX,Male,Sprain/Strain,Body,5.0,YES,Work related accident,12/04/2022
Foot Fracture from Trolley,Interior,SousseUATS,Production,A2-Injury with lost time,Other,Normal operation,Lifting Gear / conveyors,,3.1 - Heavy physical work,NO,NO,DRX,Female,Fracture,Foot,15.0,YES,Work related accident,03/06/2022
Hand Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,3.1 - Heavy physical work,YES,NO,DRX,Male,Sprain/Strain,Arm,6.0,YES,Work related accident,25/01/2022
Back Pain,Electric,SousseMETS,KS,A2-Injury with lost time,Other,Normal operation,,,3.1 - Heavy physical work,NO,,DRX,Female,Other,Body,13.0,,Work related accident,20/04/2022
Inguinal Hernia Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,3.1 - Heavy physical work,YES,,DRX,Male,Other,Leg,8.0,,Work related accident,07/06/2022
Right Finger Injury,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Fracture,Hand,22.0,YES,Work related accident,29/08/2022
Right Eye Redness,Electric,Siliana,MR,A2-Injury with lost time,Other,Normal operation,,,4.1 - Infections,NO,,DRX,Female,Chemical Burn,Eye,7.0,YES,Work related accident,27/01/2022
Head Injury,Electric,ElJem,MM,A2-Injury with lost time,Logistics,Normal operation,Lifting Gear / conveyors,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain/Strain,Head,2.0,YES,Work related accident,19/04/2022
Left Shoulder Injury,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,,,4.2 - Parts with hazardous surfaces,YES,,DRX,Male,Laceration,Body,9.0,YES,Work related accident,13/05/2022
Left Eye Injury,Electric,ElJem,IR,A2-Injury with lost time,E-Pre Assembly - Detail Planning Group DPG,Normal operation,,,4.2 - Parts with hazardous surfaces,YES,YES,DRX,Female,Other,Eye,3.0,YES,Work related accident,14/07/2022
Right Ankle Sprain,Electric,ElJem,MM,A2-Injury with lost time,Logistics,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain/Strain,Foot,9.0,NO,Work related accident,01/09/2022
Left Hand Sprain,Electric,ElJem,MM,A2-Injury with lost time,Logistics,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain/Strain,Hand,5.0,YES,Work related accident,06/09/2022
Right 5th Finger Wound,Electric,ElJem,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Other,Hand,8.0,,Work related accident,02/11/2022
Right Hand Contusion,Electric,ElJem,MR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Sprain/Strain,Hand,11.0,YES,Work related accident,20/10/2022
Right Hand Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,,DRX,Male,Stab wound,Hand,6.0,,Work related accident,18/05/2022
Hand Injury,Electric,ElJem,MM,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,4.3 - Means of transport,NO,YES,DRX,Female,Other,Hand,9.0,,Work related accident,27/10/2022
Left Shoulder Dislocation,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,4.3 - Means of transport,NO,,DRX,Female,Other,Hand,19.0,,Non-work related accident,21/03/2022
Left Hip and Shoulder Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,4.3 - Means of transport,NO,,DRX,Female,Other,Hand,8.0,,Non-work related accident,18/05/2022
Right Foot Injury,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,,,,4.3 - Means of transport,NO,,DRX,Female,Other,Foot,11.0,NO,Non-work related accident,28/09/2022
Right Hand Fracture,Electric,ElJem,IR,A2-Injury with lost time,E-Pre Assembly - Detail Planning Group DPG,Normal operation,,,4.4 - Parts moving uncontrolled,NO,YES,DRX,Female,Fracture,Hand,9.0,NO,Work related accident,20/09/2022
Left Eye Injury,Electric,SousseMETS,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,4.4 - Parts moving uncontrolled,NO,,DRX,Female,Other,Eye,5.0,,Work related accident,22/02/2022
Right Ankle Pain,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,4.4 - Parts moving uncontrolled,NO,,DRX,Female,Other,Foot,14.0,,Non-work related accident,15/03/2022
Left Lower Limb Lumbosciatalgia,Interior,SousseUATS,Production,A2-Injury with lost time,Other,Normal operation,,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Sprain/Strain,Body,11.0,YES,Work related accident,16/08/2022
Back Pain,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,6.0,NO,Work related accident,26/10/2022
Right Ankle Pain,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,Trolley,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Stab wound,Foot,11.0,NO,Work related accident,11/11/2022
Right Foot Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Tools / Utilities,Trolley,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,,DRX,Male,Fracture,Foot,13.0,NO,Work related accident,30/11/2022
Right Shoulder Pain,Electric,SousseMETS,Logistics,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Tools / Utilities,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,,14.0,NO,Work related accident,01/12/2022
Left Hand Fracture,Electric,ElJem,,A2-Injury with lost time,,,,,,,,,,,,6.0,,Work related accident,01/01/2022
Stab Wound,Electric,SousseMETS,BX8,A2-Injury with lost time,,Normal operation,,,,NO,,DRX,Female,-,Foot,26.0,YES,Non-work related accident,03/01/2022
Lumbago Pain,Electric,ElJem,Logistics,A2-Injury with lost time,Other,Maintenance,,,1.1 - Workplace-related training,NO,YES,DRX,Male,Other,Body,6.0,YES,Work related accident,18/03/2023
Lumbago Pain,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,1.1 - Workplace-related training,NO,YES,DRX,Male,Other,Body,2.0,NO,Work related accident,06/04/2023
Falling Box Leading to Right Wrist Injury,Electric,SousseMETS,Production,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,1.1 - Workplace-related training,NO,,DRX,Female,Crush/Bruise,Hand,11.0,NO,Work related accident,07/06/2023
Thumb Injury,Electric,Jemmal,Logistics,A2-Injury with lost time,Logistics,Maintenance,Tools / Utilities,racks,1.10 - General communication,NO,YES,DRX,Male,Crush/Bruise,Hand,15.0,,Work related accident,19/04/2023
Lower Back Pain,Electric,ElJem,IR,A2-Injury with lost time,Other,Maintenance,,,1.2 - Workplace-related operating instruction,NO,YES,DRX,Male,Other,Body,3.0,NO,Work related accident,14/06/2023
Shoulder Dislocation,Electric,Siliana,,A2-Injury with lost time,Logistics,Malfunction,,,1.2 - Workplace-related operating instruction,NO,NO,DRX,Male,Fracture,Arm,31.0,,Work related accident,01/12/2023
Left Index Finger Injury,Electric,SousseMETS,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Power / Work Machine,crimping machine,1.2 - Workplace-related operating instruction,YES,,DRX,Female,Crush/Bruise,Hand,11.0,NO,Work related accident,08/02/2023
Right Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Conveyor System / Robot,Baubrett (Assembly line),1.2 - Workplace-related operating instruction,NO,,DRX,Male,Crush/Bruise,Hand,20.0,YES,Work related accident,04/05/2023
Falling Box Leading to Right Shoulder Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,1.2 - Workplace-related operating instruction,NO,,DRX,Male,Crush/Bruise,Body,7.0,YES,Work related accident,06/07/2023
Finger Injury from Electric Screwdriver,Electric,Jemmal,Production,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,Electric screwdriver,1.2 - Workplace-related operating instruction,NO,NO,DRX,Male,Stab injury,Hand,5.0,NO,Work related accident,11/05/2023
Left Hand Injury,Electric,ElJem,IR,A2-Injury with lost time,I-Production step 3 - lamination and finishing processes - production cell,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Hand,3.0,YES,Work related accident,22/08/2023
Foot Pain,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,Processing Machines,,1.2 - Parts with dangerous surfaces,NO,,DRX,Male,Crush/Bruise,Foot,5.0,NO,Non-work related accident,23/02/2023
Internal Organ Crush,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,Work place / paths,,1.2 - Parts with dangerous surfaces,NO,,DRX,Male,Crush/Bruise,Internal organs,18.0,NO,Work related accident,03/03/2023
Foot Injury,Electric,Siliana,KS,A2-Injury with lost time,Other,Normal operation,Work place / paths,,1.2 - Parts with dangerous surfaces,NO,,DRX,Male,Crush/Bruise,Foot,25.0,NO,Work related accident,02/06/2023
Collision Leading to Left Finger Fracture,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,1.2 - Parts with dangerous surfaces,NO,,DRX,Female,Crush/Bruise,Hand,20.0,NO,Work related accident,19/01/2023
Thumb Dislocation,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,1.4 - Hazardous work,NO,,DRX,Male,Crush/Bruise,Hand,15.0,YES,Work related accident,13/10/2023
Internal Organ Crush,Electric,Siliana,Quality,A2-Injury with lost time,Other,Normal operation,Work place / paths,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Leg,10.0,NO,Work related accident,16/08/2023
Internal Organ Crush,Electric,Siliana,Quality,A2-Injury with lost time,Other,Normal operation,Work place / paths,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Hand,10.0,NO,Work related accident,16/08/2023
Internal Organ Crush,Electric,Siliana,Production,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Work place / paths,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Crush/Bruise,Leg,7.0,NO,Work related accident,11/07/2023
Hip Pain,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Tools / Utilities,,10.3 - Social conditions,NO,NO,DRX,Male,Crush/Bruise,Body,7.0,YES,Non-work related accident,19/10/2023
Deep Finger Wound on Right Hand,Electric,Siliana,,A2-Injury with lost time,Other,Normal operation,,,11.1 - Humans,NO,NO,DRX,Female,Crush/Bruise,Leg,7.0,YES,Work related accident,11/11/2023
Hand Wound,Electric,Siliana,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,11.2 - Humans,NO,NO,DRX,Female,Stab injury,Hand,10.0,YES,Non-work related accident,15/11/2023
Knee Injury,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,,,11.2 - Humans,NO,NO,DRX,Female,Crush/Bruise,Leg,3.0,YES,Non-work related accident,27/11/2023
Neck Injury,Electric,Jemmal,IR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,11.2 - Humans,NO,YES,DRX,Female,Sprain/Strain,Body,5.0,YES,Work related accident,18/09/2023
Left Foot Bruise,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,Lifting Gear / conveyors,Amaisa,2.2 - Traffic routes,NO,NO,DRX,Male,Crush/Bruise,Foot,7.0,YES,Work related accident,22/09/2023
Left Elbow Injury,Electric,ElJem,Production,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Power / Work Machine,Transpalet,2.2 - Traffic routes,NO,NO,DRX,Female,Crush/Bruise,Head,1.0,YES,Work related accident,15/12/2023
Back Injury,Electric,Jemmal,Administration,A2-Injury with lost time,Office,Normal operation,,,2.2 - Traffic routes,NO,,DRX,Male,Sprain/Strain,Body,5.0,YES,Work related accident,30/08/2023
Back Injury,Electric,ElJem,MM,A2-Injury with lost time,E-Pre Assembly - Detail Planning Group DPG,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Female,Other,Body,7.0,NO,Work related accident,02/02/2023
Right Pelvis Injury,Electric,ElJem,,A2-Injury with lost time,I-Production step 5 - sequenced assembly - production island,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Male,Crush/Bruise,Body,4.0,NO,Work related accident,02/11/2023
Fall Due to Slipping,Interior,SousseUATS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Male,Sprain/Strain,Body,14.0,YES,Work related accident,17/07/2023
Slipping Leading to Right Ankle Sprain,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Crush/Bruise,Foot,11.0,YES,Non-work related accident,02/02/2023
Falling Metal Part Leading to Left Foot Injury,Electric,SousseMETS,KS,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Female,Crush/Bruise,Foot,7.0,NO,Work related accident,02/02/2023
Falling Leading to Back and Shoulder Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Other,Body,21.0,NO,Non-work related accident,26/04/2023
Slipping Leading to Right Hip Injury,Electric,SousseMETS,Zeta,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Crush/Bruise,Leg,11.0,YES,Non-work related accident,25/05/2023
Head Injury,Electric,SousseMETS,Production,A2-Injury with lost time,-,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Male,Crush/Bruise,Head,6.0,NO,Non-work related accident,24/05/2023
Twisted Finger,Electric,Jemmal,Production,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,stepladder,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,NO,DRX,Male,Sprain/Strain,Hand,9.0,NO,Work related accident,16/05/2023
Lower Back Pain,Interior,SousseUATS,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,3.1 - Heavy physical work,YES,NO,DRX,Male,Sprain/Strain,Body,29.0,YES,Work related accident,26/03/2023
Abnormal Movement from Carrying Heavy Box,Interior,SousseUATS,Production,A2-Injury with lost time,E-Assembly - Item number,Malfunction,Packaging Machine,Assembly,3.1 - Heavy physical work,NO,NO,DRX,Male,Other,Body,8.0,NO,Work related accident,06/11/2023
Lifting Leading to Back Pain,Electric,SousseMETS,Production,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,3.1 - Heavy physical work,YES,,DRX,Male,Sprain/Strain,Body,11.0,NO,Work related accident,17/02/2023
Shelf Handling Incident,Electric,Jemmal,Production,A2-Injury with lost time,Logistics,Maintenance,Tools / Utilities,shelfs,3.1 - Heavy physical work,NO,YES,DRX,Male,Sprain/Strain,Hand,9.0,YES,Work related accident,03/01/2023
Dorsal and Lumbar Spine Contusion,Electric,SousseMETS,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,3.8 - Impeded handling of work equipment,NO,,DRX,Female,Crush/Bruise,Body,6.0,,Work related accident,14/04/2023
Bruised Hand,Electric,Jemmal,Production,A2-Injury with lost time,I-Production step 4 - bulk assembly - production island,,Wood and processing machines,support metalique,3.8 - Impeded handling of work equipment,,,DRX,Female,Crush/Bruise,Hand,5.0,NO,Work related accident,29/05/2023
Hand Injury from Cable Handling,Electric,Jemmal,IR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Wood and processing machines,Metal support,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Crush/Bruise,Hand,5.0,YES,Work related accident,30/08/2023
Bruised Hand,Electric,Jemmal,IR,A2-Injury with lost time,I-Production step 4 - bulk assembly - production island,,Wood and processing machines,support metallique,3.8 - Impeded handling of work equipment,YES,,DRX,Female,Crush/Bruise,Hand,2.0,NO,Work related accident,01/06/2023
Frontal Head Injury,Electric,Jemmal,IR,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,stepladder locking bracket,4.2 - Parts with hazardous surfaces,NO,NO,DRX,Male,Crush/Bruise,Head,5.0,NO,Work related accident,19/09/2023
5th Toe Fracture,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,4.3 - Means of transport,NO,YES,DRX,Male,Fracture,Foot,15.0,NO,Work related accident,21/02/2023
Right Shoulder Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Lifting Gear / conveyors,,4.3 - Means of transport,YES,,DRX,Male,Other,Body,8.0,YES,Work related accident,08/06/2023
Trolley Accident,Electric,Jemmal,Foaming Area,A2-Injury with lost time,C-Mid End (injection molding / stamping - bending ...),Normal operation,Tools / Utilities,trolley,4.3 - Means of transport,NO,NO,DRX,Male,Cut,Foot,10.0,NO,Work related accident,13/11/2023
Metal Door Fall Injury,Interior,SousseUATS,Logistics,A2-Injury with lost time,Other,Normal operation,,,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Burn/Scald,Head,28.0,YES,Work related accident,17/06/2023
Finger Injury,Interior,SousseUATS,Production,A2-Injury with lost time,Other,Normal operation,Processing Machines,Sewing,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Stab injury,Hand,6.0,YES,Work related accident,05/09/2023
Shoulder Sprain,Interior,SousseUATS,Production,A2-Injury with lost time,C-Back End (assembly),Malfunction,Processing Machines,AP2_JLR,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Sprain/Strain,Arm,131.0,NO,Work related accident,30/07/2023
Bruised Hand,Electric,Jemmal,Production,A2-Injury with lost time,Other,Normal operation,Conveyor System / Robot,workstation,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Crush/Bruise,Hand,5.0,NO,Work related accident,20/05/2023
Crushed Finger,Electric,Jemmal,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Lifting Gear / conveyors,plastic boxes,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Crush/Bruise,Hand,5.0,NO,Work related accident,12/06/2023
Hand Injury from Molding Machine,Electric,Jemmal,Foaming Area,A2-Injury with lost time,C-Mid End (injection molding / stamping - bending ...),Normal operation,Plastics processing machines,Foaming Areaingection machine,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Crush/Bruise,Hand,5.0,NO,Work related accident,10/07/2023
Crushed Hand During Maintenance,Electric,Jemmal,Production,A2-Injury with lost time,Other,Maintenance,Processing Machines,Electrical function test,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/Bruise,Hand,8.0,YES,Work related accident,15/02/2023
Nutrunner Hand Bruise,Electric,Jemmal,FBB,A2-Injury with lost time,Other,Normal operation,Wood and processing machines,Nutrunner,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/Bruise,Hand,5.0,YES,Work related accident,03/04/2023
Hand Pain,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,,,,NO,,DRX,Male,Crush/Bruise,Hand,7.0,YES,Non-work related accident,17/01/2023
Leg Injury,Electric,Siliana,,A2-Injury with lost time,Other,Normal operation,,,,NO,NO,DRX,Female,Crush/Bruise,Leg,30.0,YES,Work related accident,18/11/2023
Leg Fracture,Electric,Siliana,Maintenance,A2-Injury with lost time,,Normal operation,,,,NO,NO,DRX,Male,Fracture,Leg,37.0,YES,Work related accident,25/11/2023
Right Hand Injury,Electric,Siliana,Maintenance,A2-Injury with lost time,,,,,,,,,,Crush/Bruise,Hand,,,Work related accident,18/12/2023
Hand Injury,Electric,ElJem,Production,A2-Injury with lost time,Other,Normal operation,Metal Working Machine,the pince of boutel,3.8 - Impeded handling of work equipment,NO,NO,DRX,Female,Crush/Bruise,Hand,10.0,NO,Work related accident,06/06/2024
Hand Injury,Electric,ElJem,MM,A2-Injury with lost time,Logistics,Normal operation,Work place / paths,stepladder,3.8 - Impeded handling of work equipment,NO,NO,DRX,Male,Crush/Bruise,Hand,5.0,NO,Work related accident,07/09/2024
