Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Left Hand Injury,System,ElJem,Administration,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,10.4 - Work environment,NO,NO,DRX,Female,Other,Hand,10.0,NO,,20/8/2019
Left Leg Injury,Electric,Siliana,MR,A2-Injury with lost time,Other,Normal operation,Other,no machine,10.4 - Work environment,NO,YES,DRX,Female,Sprain/Strain,Foot,3.0,NO,,22/5/2019
Leg Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,10.4 - Work environment,NO,NO,DRX,Female,Sprain/Strain,Foot,2.0,NO,,22/5/2019
Foot Wound,Electric,SousseMETS,Zeta,A2-Injury with lost time,,Normal operation,Other,,10.4 - Work environment,NO,YES,DRX,Female,Cut,Foot,20.0,NO,,4/5/2019
Neck Burn,Electric,SousseMETS,SI,A2-Injury with lost time,I - 1021 - injection_compression_molding,Normal operation,Other,,3.3 - Skin contact with hazardous surfaces,NO,YES,DRX,Male,Burn/Scald,Body,20.0,NO,,26/4/2019
Staple Injury,Interior,SousseUATS,,A2-Injury with lost time,I - 4022 - staple,Normal operation,Tools / Utilities,Staple gun,4.1 - Infections,NO,NO,DRX,Male,Stab injury,Hand,6.0,YES,,29/4/2019
Deep Laceration,System,ElJem,Assembly,A2-Injury with lost time,I - 3013 - cutting - manual,Malfunction,Machine Tool,,"5.1 - Combustible solids, liquids, gasElectric",YES,YES,DRX,Male,Cut,Hand,21.0,NO,,2/4/2019
Left Hand Contusion,System,ElJem,Production,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,8.4 - Inadequate Electriccape routElectric,NO,YES,DRX,Female,Crush/Bruise,Hand,10.0,NO,,16/1/2019
Eye Injury,System,ElJem,MM,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,8.4 - Inadequate Electriccape routElectric,YES,YES,DRX,Female,Other,Eye,13.0,YES,,25/2/2019
Right Hand Fracture,System,SousseMETS,Maintenance,A2-Injury with lost time,,Normal operation,Other,,8.4 - Inadequate Electriccape routElectric,NO,NO,DRX,Male,Fracture,Hand,30.0,NO,,20/9/2019
Right Hand Injury,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,YES,DRX,Female,Crush/Bruise,Hand,15.0,YES,,20/2/2019
Left Eye Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Male,Crush/Bruise,Eye,4.0,NO,,19/11/2019
Door-Related Accident,Interior,SousseUATS,Production,A2-Injury with lost time,Other,Normal operation,Other,Porte,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Male,Cut,Eye,8.0,NO,,13/5/2019
Trolley Overturning Accident,Interior,SousseUATS,Production,A2-Injury with lost time,I - 4022 - staple,Normal operation,Tools / Utilities,product transport trolley,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Male,Sprain/Strain,Arm,5.0,NO,,18/12/2019
Left Ankle Sprain,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Sprain/Strain,Hand,15.0,YES,,28/2/2019
Lower Back Pain,System,ElJem,Logistics,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,7.0,YES,,19/9/2019
Neck Pain with Shoulder Stiffness,System,ElJem,Logistics,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,19.0,YES,,15/11/2019
Lower Back Pain,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Body,15.0,YES,,13/11/2019
Lower Back Pain,System,ElJem,Logistics,A2-Injury with lost time,E - 8001 commInteriorsioning,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,21.0,YES,,12/12/2019
Lower Back Pain,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,16.0,YES,,18/12/2019
Right Hand Finger Injury,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Sprain/Strain,Hand,15.0,YES,,28/2/2019
Right Hand Injury,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Crush/Bruise,Hand,12.0,YES,,22/5/2019
Right Eye Injury,Electric,Siliana,MR,A2-Injury with lost time,,Normal operation,Machine Tool,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,10.0,YES,,23/8/2019
Eye Injury,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Leg,2.0,NO,,18/4/2019
Left Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Eye,4.0,NO,,30/4/2019
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,7.0,NO,,22/2/2019
Eye Injury,Electric,Siliana,SI,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,3.0,NO,,26/2/2019
Eye Injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,7.0,NO,,20/2/2019
Eye Injury,Electric,Siliana,MM,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Head,5.0,NO,,20/2/2019
Eye Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,3.0,YES,,30/1/2019
Eye Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,3.0,NO,,30/1/2019
Eye Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Hand,3.0,NO,,16/1/2019
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,4.0,NO,,29/1/2019
Eye Injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,6.0,NO,,18/1/2019
Lumbago Pain,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Other,Body,7.0,YES,,3/5/2019
Eye Injury,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Foot,2.0,NO,,7/3/2019
Eye Injury,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Body,3.0,NO,,14/3/2019
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Foot,4.0,NO,,7/3/2019
Eye Injury,Electric,Siliana,MR,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,12.0,NO,,7/3/2019
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Eye,7.0,NO,,7/3/2019
